__id,countryName,iso3166Alpha2Code,iso3166Alpha3Code,m49code,wbCountryCode,wbIncomeLevelCode,wbIncomeLevelName,wbLendingTypeCode,wbLendingTypeName,wbRegion,wbRegionCode,responseDate,roundId,extendedBreakCode,educationStatusCode,educationStatusPrePrimaryCode,educationStatusPrimaryCode,educationStatusLowerSecondaryCode,educationStatusUpperSecondaryCode,educationStatusHigherCode,educationStatusVocationalCode,vaccineAvailabilityForTeachersCode,inPersonAdditionalSupportPrePrimary,inPersonAdditionalSupportPrimary,inPersonAdditionalSupportLowerSecondary,inPersonAdditionalSupportUpperSecondary,remoteEducationModalitiesPrePrimaryCode,remoteEducationModalitiesPrimaryCode,remoteEducationModalitiesLowerSecondaryCode,remoteEducationModalitiesUpperSecondaryCode,remoteEducationModalitiesHigherCode,remoteEducationModalitiesVocationalCode,inPersonPrioritizationCategoriesCode,inPersonPrioritizationGradeLevelCode,inPersonPrioritizationStudentNeedCode,inPersonPrioritizationGeographyCode,inPersonLearningCoveragePrePrimaryCode,inPersonLearningCoveragePrimaryCode,inPersonLearningCoverageLowerSecondaryCode,inPersonLearningCoverageUpperSecondaryCode,inPersonLearningCoverageHigherCode,inPersonLearningCoverageVocationalCode
reczaYph5jzfNS1Aj,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-07-14,11,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
recxLw5SvVRrnF6Nt,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-07-27,12,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
recYByrYVSzFvNEJu,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-08-11,13,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
recVIZBC9RR6J0KU4,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-08-24,14,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
recScy4MuiN0c55H7,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-09-09,15,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
recL8BPe77tWtaOIr,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-09-22,16,2,5,5,5,5,5,5,5,6,,,,,,,,,,,,,,,,,,,,
recLdE72gaQzErgE4,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-10-07,17,2,4,4,4,4,4,5,5,6,8,8,8,8,,,,,,,5,,,15,5,5,5,5,5,5
recw0aO0p3HjXSYsc,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-10-20,18,2,4,4,4,4,4,5,5,6,8,8,8,8,,,,,,,5,,,15,5,5,5,5,5,5
recOSPC1hvG5674Ax,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-11-02,19,1,,,,,,,,6,8,8,8,8,,,,,,,,,,,,,,,,
rectfZgXz8dU7zFNt,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-11-17,20,2,4,4,4,4,4,"4,3","4,3",6,8,8,8,8,6,6,6,6,1,1,5,,,,5,5,5,5,5,5
recaxLWUGFnFdaFIR,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-12-01,21,2,4,4,4,4,4,5,5,6,8,8,8,8,,,,,,,5,,,,5,5,5,5,5,5
rec409VBoXyYfTf1Y,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-12-18,22,2,4,4,4,4,4,4,4,6,8,8,8,8,,,,,,,5,,,,5,5,5,5,5,5
recCkid4OaPmX4ewn,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2022-01-06,23,1,,,,,,,,6,8,8,8,8,,,,,,,,,,,,,,,,
recsqRA0lMMDWYKZq,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2022-01-20,24,2,4,4,4,4,4,4,4,6,8,8,8,8,,,,,,,5,,,,1,1,1,1,1,1
rec6bc3vy6e8cAuMg,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2022-02-03,25,2,4,4,4,4,4,4,4,6,8,8,8,8,,,,,,,5,,,,1,1,1,1,1,1
rec1bCACMR3VWqsdu,Angola,AO,AGO,24,AGO,LMC,Lower middle income,IBD,IBRD,Sub-Saharan Africa,SSA,2021-01-30,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
recGGd8k41klNQVrV,Angola,AO,AGO,24,AGO,LMC,Lower middle income,IBD,IBRD,Sub-Saharan Africa,SSA,2021-03-02,2,2,"3,4",,,,,,,2,"1,2","1,2","1,2",1,7,2,2,2,6,6,1,"19,20,3,21,4",,,5,5,5,5,5,5
recLETjnTr5EvmhvI,Angola,AO,AGO,24,AGO,LMC,Lower middle income,IBD,IBRD,Sub-Saharan Africa,SSA,2021-03-05,3,2,4,,,,,,,2,"1,2","1,2,6","1,2,6","1,2,6",,,,,,,1,"2,3,4,5,6",,,4,5,5,5,5,5
recEbKILPCjmXIfAa,Angola,AO,AGO,24,AGO,LMC,Lower middle income,IBD,IBRD,Sub-Saharan Africa,SSA,2021-04-05,4,2,4,,,,,,,1,"1,2","1,2,6","1,2,6","1,2,6",,,,,,,5,,,,5,2,2,2,2,2
recKgVIxiyH5r8SHt,Angola,AO,AGO,24,AGO,LMC,Lower middle income,IBD,IBRD,Sub-Saharan Africa,SSA,2021-04-26,6,2,4,4,4,4,4,4,4,1,,,,,,,,,,,,,,,,,,,,
rec41dtqQ8EHsJnaI,Angola,AO,AGO,24,AGO,LMC,Lower middle income,IBD,IBRD,Sub-Saharan Africa,SSA,2021-05-18,7,2,4,4,4,4,4,4,4,1,"1,2","1,2,6","1,2,6","1,2,6",,,,,,,5,,,,5,2,2,2,2,2
recxGPyRwNuUTVRhM,Angola,AO,AGO,24,AGO,LMC,Lower middle income,IBD,IBRD,Sub-Saharan Africa,SSA,2021-06-07,8,2,4,4,4,4,4,4,4,1,"1,2","1,2,6","1,2,6","1,2,6",,,,,,,5,,,,5,2,2,2,2,2
recumED2rcDLrS5rs,Angola,AO,AGO,24,AGO,LMC,Lower middle income,IBD,IBRD,Sub-Saharan Africa,SSA,2021-08-30,14,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
